Persian,English,Province
آستارا - اردبيل,Astara-Ardabil Rd,Gilan
رشت - قزوين,Rasht-Ghazvin Rd,Gilan
قزوين - رشت,Ghazvin-Rasht Rd,Gilan
آزادراه,FWY,Gilan
قدیم,Old Rd,Gilan
فومن,Fuman Rd,Gilan
سراوان,Saravan Rd,Gilan
مرز استان,Gilan Exit Rd,Gilan
اسالم,Asalem Rd,Gilan
منجيل - طارم,Manjil-Tarom Rd,Gilan
شلمان,Shalman Rd,Gilan
طارم - منجيل,Tarom-Manjil Rd,Gilan
اردبيل - آستارا,Ardabil-Astara Rd,Gilan
رودهن - آمل,Rudhen-Amol Rd,Mazandaran
آمل - رودهن,Amol-Rudhen Rd,Mazandaran
کياسر - ساري,Kiasar-Sari Rd,Mazandaran
کیاده,Kiyadeh Rd,Mazandaran
ساري - کياسر,Sari-Kiasar Rd,Mazandaran
رستمکلا,Rostamkala Rd,Mazandaran
گلوگاه,Galugah Rd,Mazandaran
حسين آباد,Hoseinabad Rd,Mazandaran
آمل - بابل,Amol-Babol Rd,Mazandaran
قائمشهر - فيروزکوه,Qaemshahr-Firuzkuh Rd,Mazandaran
فيروزکوه - قائمشهر,Firuzkuh-Qaemshahr Rd,Mazandaran
نوشهر - نور,Nowshahr-Nur Rd,Mazandaran
تهران - شمال,Tehran-North Rd,Mazandaran
چالوس - کرج,Chalus-Karaj Rd,Mazandaran
کرج - چالوس,Karaj-Chalus Rd,Mazandaran
نور - نوشهر,Nur-Nowshahr Rd,Mazandaran
آزادشهر - شاهرود,Azadshahr-Shahroud,Golestan
شاهرود - آزادشهر,Shahroud-Azadshahr,Golestan
متناظر سامانه توزين,ُTowzin Rd,Golestan
توسکستان,Tuskestan Rd,Golestan
اردبيل - آستارا,Ardabil-Astara Rd,Gilan
آستارا - اردبيل,Ardabil-Astara Rd,Gilan
امره,Amreh,Mazandaran
قائمشهر - فيروزکوه,Qaemshahr-Firuzkuh Rd,Mazandaran
فيروزکوه - قائمشهر,Firuzkuh-Qaemshahr Rd,Mazandaran
بزرگراه,Highway,Mazandaran
حسين آباد,Hosseinabad,Mazandaran
